Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Fakie Nollie Tre Flip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Hardflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Hardflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside 180 Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside 180 Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nollie Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nollie Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside 180 Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside 180 Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside 180 Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside 180 Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Tre Flip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nollie Tre Flip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Hardflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Hardflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
